Genes	wt_DMSO_1	wt_DMSO_2	wt_DMSO_3	wt_CPT_1	wt_CPT_2	wt_CPT_3	miR34a_del_DMSO_1	miR34a_del_DMSO_2	miR34a_del_DMSO_3	miR34a_del_CPT_1	miR34a_del_CPT_2	miR34a_del_CPT_3
LL0000000279	190.69	201.52	240.32	88.94	90.12	69.86	176.99	240.01	179.04	84.12	65.96	50
LL0000000280	4	8	6	1	1	0	6	4	4	2	0	0
LL0000000281	163.03	143.34	162.98	11.94	41	20	139.93	212.99	101	70	16	23.01
LL0000000282	171.89	145.24	151.9	95.91	108.92	123.93	169	154.7	138	98.01	71	71.02
LL0000000283	81.72	71	59.79	15	18	23	55.76	76.97	61	34	12.23	21
LL0000000284	91	109	112	16	27	23	71.03	126.98	86	38	24.98	21.63
LL0000000285	39.28	48	38	14.3	26.26	12	37.03	74	51	24.01	9	9.38
LL0000000286	381.54	375.62	402.62	54	105	102.99	279.99	496.99	340.55	150.12	97	79.77
LL0000000287	104	102	99.99	9	27	18	64.22	97.61	62	17	7	9
LL0000000288	431.12	407.34	462.72	23.05	42	15	338.71	403.68	370.95	60.01	22.04	21
LL0000000289	51.52	83	73.8	31.21	57	32.69	65.76	56	53	50.37	32	35
LL0000000290	97	114.7	94.25	7	28.66	19	95.51	140.88	120.89	12.57	15	19.74
LL0000000291	184.63	254	185.05	49.86	52	39	167.54	173.15	201.72	66	38	36
LL0000000292	63	66	65.02	73	85	143.79	56	73.88	50.73	117	105.23	87
LL0000000293	70.8	69	78.95	11	23	16	55	59	42	37	15	17
LL0000000294	18	23	21	9	25	16.01	9	20	16	22.03	12.19	2
LL0000000295	40	35	41.66	8	18	7	33	19	39.05	13	3	5
LL0000000296	211.82	208.26	229.21	75.69	111.52	113.73	190.74	234.91	169.66	125.18	72.24	81.27
LL0000000297	189	173	169.68	50	97.63	88	182.99	189.32	211	90.52	45	59
LL0000000298	37	37.97	48.92	38	65	115.83	33.22	61.11	44.52	91.75	69.75	72.85
LL0000000299	1348.28	1233.04	1208.86	1069.76	1335.15	1641.64	1141.91	1562.38	1211.94	1704.25	1095.92	1120.45
LL0000000300	175.21	165.84	194.02	54	110.02	112.99	162	162	147.98	104.07	76.85	79.97
LL0000000301	124	143.66	122.08	6	23	13	144.12	175	107.98	19.01	4	7.09
LL0000000302	40.72	37	49	14	9.57	11	30.99	45	27	12	19	18
LL0000000303	139.99	125.03	138.22	97.55	123.1	198.41	95	127	112	173.99	110.68	136
LL0000000304	136.98	116	155	205.19	228.01	321.78	80.99	129	154	299.73	241	167
LL0000000305	128.73	134.58	151.63	101.51	132.47	232.56	108.18	143.72	126.5	190.01	183.73	127.94
LL0000000306	76	77	60.34	5	6	9	67.94	98.89	67.01	12	3	5
LL0000000307	206.1	196	184.07	187.44	225.97	268.04	200.22	214.96	192.78	237.05	178.89	168.98
LL0000000308	244.54	204.98	268.71	143.31	213	305.38	190.98	240.96	203.71	262.6	168.93	138
LL0000000309	6	13	11.01	4	3.06	4	14	5	5	5	2.07	0
LL0000000310	14	14.99	7.04	25	92	127	23.15	17.94	8	126	54	73
LL0000000311	24	30	22	7.01	4	6	11	21.62	23	5.07	4	3
LL0000000312	87	111.4	116.29	6	15	13	106.02	128.02	115.94	19.01	4	8
LL0000000313	165.9	193.6	232.11	126.89	193	209.77	172.02	260	161	235.9	99	112
LL0000000314	5.27	3	4	4	5	3	1	2	2	9	2	0
LL0000000315	132	163.81	152.02	20	32	34.24	155.15	177.21	144	41	26	18
LL0000000316	261.02	247.31	280.96	25	43	40	207	235.05	231.79	71.81	35	31
LL0000000317	311.52	413.73	395.91	81	73	95.75	274.19	409.8	251.1	131	98	82.92
LL0000000318	126.98	170	140.56	25	24	15	126	119	93	44.21	19.91	17
LL0000000319	39	35	44	11	22	17.98	21	49.86	30.57	15	9	5
LL0000000320	230.97	284.02	258.18	110	149	113.53	211.02	217.04	185.92	149	90.02	107.89
LL0000000321	28	30	26.02	7	10	6	18.99	34.65	25	5	2	3
LL0000000322	334.66	347.84	418.02	89.01	161.73	256.17	262.87	317.03	352.78	260.21	174.06	126.74
LL0000000324	1691.52	1733.65	1545.95	472.34	687.11	545	1349.34	1888.71	1488.96	679.24	329.83	393.98
LL0000000325	400.83	422.98	461.92	75.99	109	116	356.09	384.09	339.37	181.47	76.09	80.91
LL0000000326	2004.41	2408.83	2354.55	331.43	436.07	340.29	1832.97	2240.88	1990.85	491.79	326.95	253.84
LL0000000327	68	84.67	75.06	15.56	24	21.04	59	63	58	28.95	21	14
LL0000000328	62.29	66	58	4.33	23	15.1	50.01	48.01	44.17	12	16	20
LL0000000329	52	48.01	64.06	16	32	14.01	36.99	47.43	51	29	19	28
LL0000000330	226.93	264	258.25	27	31.23	62	226.83	265.95	180	61	32	23.05
LL0000000331	1099.45	1060.21	1188	404.99	512.11	546.72	1018.45	1278.73	1067.92	618.15	373.03	332
LL0000000332	162.51	150.54	143.93	50.62	92.52	59	132.16	162.84	137.86	77.54	47.05	40
LL0000000333	83	84	102.58	95	215.13	262	67	107	91	186.19	137.19	105
LL0000000334	18.93	6	19.71	0	2	3	9.33	28.16	13.1	2	1	2
LL0000000335	128.72	202	152.98	28	25	49	116	146.64	145	33	24	16.29
LL0000000336	22	20.07	32	8	12	12	17.15	17	9	8	7	8
LL0000000337	433.62	429.2	461.5	151.13	230.01	155.96	418.94	645.91	475.73	226.7	99.21	96.31
LL0000000338	1.49	1.85	3.32	9.54	6.69	4.3	3.87	3.43	1.51	2.83	11.45	8.98
LL0000000339	0	0	0	0	1	0	0	0	0	0	0	0
LL0000000340	2	0	1.32	0	1	0	0	3	2	0	0	0
LL0000000341	0	0	0	0	0	1.18	0	0	0	0	0	0
LL0000000342	0	0	0	0	0	7.82	0	0	0	0	0	1
LL0000000343	3	0	0	0	0	0	0	1.29	0	0	0	0
LL0000000344	0	0	0	2.28	0	0	0	0	1	0	1.34	0
LL0000000345	3	0	2	0	1	0	1	2	2	0	0	0
LL0000000346	9.72	19.33	15.92	8.54	11.43	19.39	6.89	6.36	10.69	25.65	8.7	19.11
LL0000000347	474.28	482.48	446.08	247.37	433.67	554.05	346	440.57	361.15	505.38	326.14	313.18
LL0000000348	0	0	0	0	0	0	0	0	0	0	0	0
LL0000000349	1	0	3.41	0	1.47	0	0	0	0	3	0	0
LL0000000350	2	1.16	2.74	3	1	0	1.21	2.31	0	4	6	0
LL0000000351	1	0	0	0	1	0	0	0	0	0	0	0
LL0000000352	0	0	1	0	0	0	0	0	0	0	0	0
LL0000000353	14	13.01	26.09	9	8	11.48	9.45	16	12	5	8	9
LL0000000354	136.05	177.04	246.1	30.88	30.69	41.36	120.17	174.82	147.18	71.34	28.52	47.88
LL0000000355	2.19	0	1	1	7	6	0	0	3	9	7	1
LL0000000356	59.25	43	43.33	14	26.92	44	44.05	42	41.63	68.98	28.94	16
LL0000000357	647.88	654.93	744.66	374.83	614.73	854.56	525.59	705.81	648.32	719.31	492.02	399.08
LL0000000358	11	14	6	10	7	11	4	1	11	8	6	5
LL0000000359	50	38	26.69	19	11	22	23.52	33	25.06	32	17.7	13
LL0000000360	4	5	4	2.03	1	4	2	5	2	2	0	3
LL0000000361	1	0	0	0	0	0	0	0	0	1	0	0
LL0000000362	23.49	20.95	18	1	5	4	10	6	15.65	7	2	6
LL0000000363	110.9	132.02	148	31	38.97	33	97	148.72	132.83	56	25	22.89
LL0000000364	0	3	0	0	1	0	1	0	0	0	0	0
LL0000000365	2	0	0	1	0	0	0	0	0	3	0	0
LL0000000366	669.86	893.55	618.86	572.03	973.39	1221.61	368.56	887.56	587.67	677.67	436.44	463.17
LL0000000367	75.02	43.12	59.06	3	14	9	30.65	53	41.87	9.22	3	3.09
LL0000000368	941.28	1092.62	1092.27	61	90	89	881.51	1398.87	1089.17	118.04	51	42
LL0000000369	0	0	0	17.06	0	0	0	0	0	0	5.59	0
LL0000000370	78	121.05	107.63	6	21.05	23	93.32	124.74	97	32.01	11.12	8
LL0000000371	422.99	446.86	448.47	46	65	32	345.99	439.13	318.47	71	19	22
LL0000000372	72.01	56	67.9	18	31.93	28	50	99.98	73	33	16	21
LL0000000373	1513.33	1732.38	1843	119	175.34	170.7	1602.4	1765.76	1337.52	254.71	89.04	88.7
LL0000000374	2601.42	2528.84	3201.13	2617.91	4142.76	4028.2	1876.8	2576.6	2020.08	2867.89	1845.93	1780.26
LL0000000375	7.66	9.63	7.76	1.02	6.2	6.54	3.07	3.1	3.22	8.63	4.03	9.16
LL0000000376	2509.08	2984.21	2801.17	1653.51	2442	2810.93	1735.13	2735.28	2453.77	2625.86	1724.72	1491.78
LL0000000377	200.5	223	258.99	166.37	356	355	156.37	205.99	205	277.7	262.04	238.8
LL0000000378	699.18	771.89	802.39	686.09	777.26	1131.72	431.07	787.12	787.79	1072.19	869.89	732.13
LL0000000379	31.89	22.23	35.62	16	35	29.16	23	32.14	32	45	23	13
LL0000000380	1	4.09	2	1	3.1	2	5	6	3	5	0	1.97
LL0000000381	549.06	504.87	567.87	673.88	1086.63	1410.2	364.82	566.28	444.74	1195.21	715.98	739.63
LL0000000382	350.73	318.45	376.52	337.5	374.61	626.67	265.25	371.97	360.57	490	348.26	263.69
LL0000000383	825.23	775.44	902.27	384.08	570.51	765.77	619.02	855.44	786.35	608.78	390.7	371.85
LL0000000384	1432.33	1607.09	1560.89	415	565.55	556.51	1095.64	1433.68	1342.8	763.73	423.4	338
LL0000000385	1820.13	1660.02	1812.54	1336.77	1922.93	2311.9	1192	1922.5	1910.85	2470.75	1550.06	1330.02
LL0000000386	44	41.91	49.51	35	69	79.98	33	37.04	50	61.29	38	36.03
LL0000000387	2	0	3	2	0	2	0	1	2	1	1	1
LL0000000388	87	81.33	85.99	109	288.94	380.68	54	80	72	229	125.27	166
LL0000000389	22	11.98	16	28	27	91.98	0	17	11	104.84	39	57.08
LL0000000390	0	1	3	1	1.97	0	0	0	0	2	1	0
LL0000000391	279	260	313.85	382.9	554.95	696.15	267.92	405	288.41	719.81	436.88	406.7
LL0000000392	1534.61	1260.8	1443.28	1358.05	2176.04	2792.93	1113.08	1434.09	1383.97	2718.58	1718.16	1601.09
LL0000000393	2343.8	2123.11	2373.77	2133.35	3669.08	4618.97	1895.53	2724.24	2225.64	4102.76	2627.11	2469.68
LL0000000394	571.11	538.9	650.92	733.01	1111.37	1111.51	421.82	542.96	436.48	1010.84	653.31	588.54
LL0000000395	280.08	409.17	393.34	535.02	795.65	1091.47	240.95	397.64	333.12	821.38	566.93	487.1
LL0000000396	315.1	449.79	643.89	613.25	932.1	1143.54	216.72	297.41	310.99	650.89	464.49	528.38
LL0000000397	2	2	4	0	1	2	2	1	3	0	0	2
LL0000000398	28	31.06	31.21	53	52	100.96	37	33	34	97.24	54	68
LL0000000399	70.83	60.81	100.99	122	127	174	56	93.89	72	116.65	71	76.88
LL0000000400	70	125.87	115.04	67	56	77	37	54	44.21	78.07	61.19	65
LL0000000401	214.81	436.1	206.01	79.94	127.82	93.7	117.02	305.01	270.69	166.01	84.86	100.55
LL0000000402	609.99	645.68	602.93	434.76	549.21	581.94	556.72	692.37	540.07	766.56	427.55	440.87
LL0000000403	155	132.98	152.24	219.38	169.79	155.01	57	108.21	90.98	181.47	146.6	144.95
LL0000000404	121.99	105.92	103.01	117.99	116.01	92	103	156.94	142.23	113.31	104.69	68
LL0000000405	91.01	99	104.01	89.99	141	207	79	144	87.45	246.56	137.95	122
LL0000000406	395.76	276.97	334.88	368.03	534.6	640.27	270.33	453.15	377.95	482.85	327	280.99
LL0000000407	95	55.01	66	126.99	138.99	233	60	95	93.03	163.47	120.89	126.03
LL0000000408	9	6	13	6.01	4	6	7	8.98	6	3	3	4
LL0000000409	3	5	5	2	6.11	5.05	3	2	0	7.18	4	3
LL0000000410	135	102	110.83	48	78	88	110	103.71	79	131.87	67	50
LL0000000411	3	1	2	0	1	1	4	4	6.97	2	5	3
LL0000000412	66	66.24	75.02	34	59	72	38.49	67	62.96	88.98	76.93	47
LL0000000413	8	19	22	5.99	5	13	9	13	10	13	16.05	6
LL0000000414	55	42.07	40.01	45.95	64.99	115.03	50	45	43.64	81.43	79.93	49.81
LL0000000415	19	7	7	10	7	22.98	3	9	4	14.02	15	7
LL0000000416	121.98	100.63	126.97	130.95	106	149.93	75.94	94.54	97.95	111.34	73.95	82.01
LL0000000417	1.02	4.37	2	1.05	3	5.07	1.06	5	1.05	3.11	1.03	3.08
LL0000000418	50	70.04	87.99	68.95	113	201	61	79	51.94	191	126.1	111
LL0000000419	39.99	32	43	62.39	73.02	120.22	51	41	43	121.9	78	75.8
LL0000000420	43	32	38.95	60	126.38	138.96	34	50	74	190.04	79.21	104
LL0000000421	102.73	114	102.82	25	40.58	64.33	79.66	136.01	78	74.93	53.55	43
LL0000000422	0	0	0	2	2	3	0	0	0	2.28	0	1
LL0000000423	3617.27	3532.19	3487.9	2888.82	4214.29	5132.5	2824.59	4645.62	4051.85	3802.01	2611.55	2281.27
LL0000000424	2863.32	2378.57	2748.49	2925.73	3490.32	3994.65	1802.97	3154.31	2553.92	3559.45	2517.93	2322.21
LL0000000425	597.77	719.27	795.35	187.39	204	163.14	568.8	710.05	463.97	257.46	99.32	113
LL0000000426	2217.91	1831.02	1874.61	1984.53	2697.46	3568.04	1543.65	2611.07	2274.56	2576.82	1801.86	1647.74
LL0000000427	880.11	1029.07	886.76	614.92	825.83	580.18	780.16	869.61	713.91	718.48	414.33	439.21
LL0000000428	75.86	69.44	76	82.02	129.73	147.16	79.96	83.99	79.93	163.04	75	100
LL0000000429	635.3	722.91	659.99	580.28	836.24	774.71	569.62	879.63	682.53	912.69	530.7	486.08
LL0000000430	876.68	883.13	847.46	751.48	1076.65	1293.28	580.36	1001.77	739.17	1141.48	723.74	673.68
LL0000000431	6383.48	5696.57	6913.57	2882.42	4920.73	6283.75	4753.37	5609.32	5156.91	6098.91	3619.33	3254.52
LL0000000432	93.99	63	101.85	42.97	54	65.97	60.18	78.3	81.04	86.01	47	49
LL0000000433	615.15	588.33	737.85	155.77	211.58	272.26	483.16	604.88	521.11	360.03	188	147.94
LL0000000434	229.76	248.35	235.99	69.61	85.69	137	180.98	273.88	225.96	109.04	105.38	66.07
LL0000000435	165.97	138.13	167.03	91	88.03	138	126.02	192	188.96	108.43	84	68
LL0000000436	196.72	268.63	229.5	46.99	71.99	117	171.91	299.24	269.14	91	78.39	52
LL0000000437	1241.71	1641.7	1356.73	79	194.19	117	1035.7	1379.34	1111.71	198.04	65.03	88
LL0000000438	94.9	46.01	82.95	15.43	87	161	50	102.23	88	182.98	79.96	61.99
LL0000000439	29.01	24.6	36.53	7.18	1	7	17	33	15	7.07	2	0
LL0000000440	237	318.24	311.12	162.97	249.97	323.28	131.52	303.66	235.08	348.45	220.01	211.83
LL0000000441	931.48	1090.95	1086.76	407.17	524.07	475.14	889.2	1030.01	779.35	696.14	363.86	368.07
LL0000000442	179.99	87	108.01	110.99	144	240.81	126.73	155.58	141	223.49	161.79	148
LL0000000443	71	89	61.98	6	9	10	47	65	57	23	7	3
LL0000000444	772.36	663.79	714.03	444.63	496.98	569.43	590.88	733.67	577.91	558.28	346.27	294.04
LL0000000445	227.16	248.65	255.3	144.9	236.13	294.82	130.37	166.34	217.37	260.18	163.23	182
LL0000000446	44863.12	41186.39	51236.23	38631.12	52293.52	68753.58	26003.87	45633.1	45133.94	67885.99	43960.42	34209.14
LL0000000447	618.8	615.74	588.25	477.28	798.84	1061.37	503.15	655.9	552	920.59	570.24	583.42
LL0000000448	140.07	155.5	155.55	165.26	269.98	371	114.95	159.99	109.33	356.59	223	217
LL0000000449	306.68	300.07	269.97	115	211.06	257	203.94	427.06	366.57	233.24	160.11	127.11
LL0000000450	959.12	900.5	1036.99	44.02	65.05	47	771.27	981.37	779.85	122.03	32	52.16
LL0000000451	57	48.96	76.52	41	68.16	81	47	71	67.05	75	41	55
LL0000000452	313.93	417.11	335.21	34.04	44.28	31	316.04	415.54	315.04	93.99	27	34
LL0000000453	155.07	177	159.03	3.01	15	7	124.6	117	129.77	12	3	6.09
LL0000000454	28.94	42.41	27	10	16.2	29.44	40.68	35	29	29	13	9.51
LL0000000455	8	13	10	0	0	0	10	3	15	14	3	0
LL0000000456	306.97	301.36	342.85	202.77	374.33	383.03	277.45	402.75	302.01	284.64	180.43	138.92
LL0000000457	487.75	426.13	552.38	176.46	233.35	394.57	399.43	531.78	506.08	317.24	282.92	215.26
LL0000000458	402.46	322.04	338.91	234.71	342.06	567.59	286.19	414.3	346.74	407.41	230.15	246.99
LL0000000459	491.21	541.8	481.09	276	444.5	498.01	318.32	578.69	644.84	462.07	367.11	307.99
LL0000000460	519.12	449.82	443.95	433.27	580.96	858.81	387.74	555.43	604.96	854.74	484.46	495.09
LL0000000461	1378.62	1689.34	1681.25	986.01	1203.58	993	1154.56	1661.9	1201.71	983.82	592.41	602.31
LL0000000462	14.57	7.06	15.7	3.5	14	4.18	9	5.5	6.55	1	1.88	1
LL0000000463	45	32	23.99	22	42	46	14	22	10	31	29.99	31
LL0000000464	8	12	14	2	5	5	6	14	4	5	4	3
LL0000000465	762.57	913.09	853.11	168.27	243.03	168.75	714.33	781.7	525.68	361.88	145.45	153.29
LL0000000466	199.04	232	304.58	195.98	265.5	270.96	182.93	208.25	149	323.4	170.02	263.44
LL0000000467	181.05	180.14	202.62	102.94	190.19	130.63	236.33	257.74	158.12	142.59	84.7	115.69
LL0000000468	183.41	158.26	120.46	332.7	377.52	380.5	167.06	171.04	145.17	508.13	349.44	310.68
LL0000000469	2301.54	2218.18	2142.28	1235.78	1954.54	2219.21	1864.13	2277.75	2026.62	2262.54	1343.12	1343.64
LL0000000470	208	218.44	239.46	157.96	210.88	253.18	145.04	175	157	195.81	133.79	108.47
LL0000000471	1025.66	1030.62	1219.93	668.1	854.95	889.21	940.27	1190.69	909.77	1025.93	503.48	546.38
LL0000000472	329.04	350.17	346.93	220.05	208.26	145.89	246.06	378.3	276.81	196.34	113.22	92.07
LL0000000473	942.59	812.84	920.76	542.34	589.43	948.04	610.63	844.49	930.58	1039.62	615.6	525.2
LL0000000474	193.94	172.35	210.25	112	149	156.83	131.19	219.01	184.05	233	78	96
LL0000000475	528.08	482.74	519.87	251.98	399.79	413.65	466.21	662.39	485.06	551.72	298.29	253.96
LL0000000476	1787.97	1875.93	2328.62	2438.59	2681.06	3052.56	1299.96	2140.14	1855.44	2692.85	2041.89	1685.28
LL0000000477	869.02	777.45	1150.58	677.4	926.11	1029.26	579.01	1008.93	717.67	928.06	596.45	500.14
LL0000000478	1366.77	1652.88	1466.05	414.59	619.99	502.03	1227.6	1264.44	1060.86	520.49	204.45	331.93
LL0000000479	30	18	66.01	19	34	47	29	37	49	35.85	37	33
LL0000000480	8	9	5.92	1	6	5	5	4	2	5	3	3
LL0000000481	304	291.11	345.37	200.57	242.36	166.55	333.99	347.99	285.72	240.39	176.24	105
LL0000000482	0	1	0	0	0	1	1	1	0	0	0	0
LL0000000483	10	11.79	13.7	2	9	14	8.09	25	7	6	5.04	3
LL0000000484	57.26	30.93	49.05	17.01	37	44	46	56	34	30	28	23.52
LL0000000485	123.96	119.99	119.02	66	67	81.99	44	122.01	101	70.02	61	37
LL0000000486	262	212.02	238.72	47	74	112.21	165	258.03	209.79	110	75.34	55
LL0000000487	49	49	49.99	12	21	25.02	35	45	53	35	23	13
LL0000000488	0	0	1.09	1	0	1	2.4	3	0.75	1	0	0
LL0000000489	2382.79	2416.87	2595.88	1419.89	2264.96	2078.31	2121.23	2844.57	2306.28	2753.22	1616.46	1517.38
LL0000000490	16835.32	14017.92	17096.73	16986.04	22665.22	23805.73	11280.48	18678.87	14535.69	16723.92	11492.42	10481.82
LL0000000491	775.02	822.86	723.42	386.91	549.88	496	558.51	881.94	773.89	533.28	312.38	324.09
LL0000000492	1024.43	1036.71	1044.15	442.95	591.79	674.77	921.35	1200.72	1097.27	639.86	434.61	369.37
LL0000000493	180.79	209.97	176	47	115	92	189.01	213.89	174.96	111.07	46.04	56.99
LL0000000494	472.26	578.59	543.77	156.88	221.51	243.93	408.5	533.84	482.58	238.6	182.82	143.93
LL0000000495	5955.34	7317.88	6955.93	1527.53	1644.97	1619.64	5785.32	6393.86	5209.21	3203.1	1785.74	1727.44
LL0000000496	0	2	2	0	2	2	0	2	2	2	3	0
LL0000000497	64.72	66.03	83	12.31	21.1	12	66.1	76	60	21.34	12.88	6.05
LL0000000498	542.22	633.19	659.78	80.09	111	89.26	473.88	616	492.45	162.55	69	67
LL0000000499	7	7	13	31.09	41	83.34	1	12	9	66.9	35	33
LL0000000500	1.22	0	3	0	2	2	2	0	2	2	2.26	0
LL0000000501	337.97	364.02	330.72	169.01	231.99	358.12	216.82	479.68	403.97	240.12	185.97	183
LL0000000502	871.68	716.06	559.63	1185.27	1382.6	1657.52	567.36	1140.44	1010	1457.24	1128.64	1015.58
LL0000000503	3	5.43	5	7	8.99	7.94	5	8.38	5	10	9.09	5.85
LL0000000504	0	0	0	1	0	2	0	2	0	2	0	0.43
LL0000000505	0	0	0	0	0	0	0	0	0	0	0	0
LL0000000506	256.56	252.69	281.15	113.59	182.56	221.23	137.89	243.06	259.98	244.63	160.39	141.34
LL0000000507	944.58	1040.16	1005.78	395.77	593.67	824.36	693.67	945.44	873.23	844.14	638.76	569.75
LL0000000508	1899.05	1633.06	1791.28	1632.12	2242.65	3060.54	1532.79	2094.1	1820.75	2704.69	1799.11	1466.13
LL0000000509	551.82	470	594.23	553.89	588.55	837	309.89	595.09	412.4	741.35	465.68	360.1
LL0000000510	41	56	55	15	15	21	27	43.03	38	27	8	19
LL0000000511	149	137.99	149.09	76	100	173.97	100	122.77	137.93	150.58	118	89
LL0000000512	108.78	81	99	16	61.9	45	86.97	68	78	59.48	34	29.99
LL0000000513	66.58	69.97	86.52	10	11	15	50	55	45	14.83	9	15
LL0000000514	2341.1	2388.27	2698.72	2084.94	2569.88	2677.76	1638.52	2849.25	2509.71	2227.26	1735.79	1376.71
LL0000000515	1765.39	1537.72	1710.58	1773.73	2036.79	2366.7	1268.86	2271.46	1586.55	1715.52	1124.72	1189.64
LL0000000516	1705.07	1722.2	1540.67	1306.42	2172.68	3005.62	1154.51	1965.89	1637.3	2491.02	1570.68	1435.26
LL0000000517	22	15	19	35.99	55.01	92.95	11	22	9	111.71	40	70.93
LL0000000518	10	15	6	3	4.58	16.99	5	5	7	12.91	4	5
LL0000000519	3	6	8.93	5	5	4	1	10	2	14.97	8.92	7
LL0000000520	69.95	65.99	99.86	5	10.98	6.12	46.17	80.87	60	11.39	3	10.99
LL0000000521	1326.14	1299.13	1382.78	1526.08	2632.74	3189.37	1176.01	1670.95	1300.58	2720.41	1654.14	1568.89
LL0000000522	6743.45	6723.09	8472.39	4817.26	6905.76	7040.68	4040.25	7664.81	5013.12	6288.55	3981.32	3981
LL0000000523	4248.23	4477.36	4696.72	4087.1	6135.07	6921.07	2726.14	4974.1	4216.5	4746.5	3373.78	2994.96
LL0000000524	1061.44	1214.9	1079.21	758.99	1133.19	1163.39	677.33	1286.6	1220.67	1048.48	825.74	688.92
LL0000000525	247.99	358.91	418.23	140.77	250.26	270.68	186.92	253.71	222	252.42	169.93	99.16
LL0000000526	18	27	22	0	5	5	13	25	21	2	1	0
LL0000000527	232.28	258.95	323.81	85	130.89	201.35	208.92	238	286	154.87	138.31	165
LL0000000528	488.48	463.22	429.94	472.08	517.9	868.59	267.28	463	557.01	811.15	582.51	482.73
LL0000000529	126	126	154	71.97	116.97	147	57.07	107	99	119.05	75.89	76.79
LL0000000530	79	88.56	77	23	55	68	42.92	79	64.95	77	49	34.21
LL0000000531	29	40	44	12	11	18	25	19	30	15.35	9	5
LL0000000532	86	119.17	105.07	33.01	57.29	86.45	58	100.98	73.8	105	46	43.06
LL0000000533	217.05	290.88	281.67	182.03	191.95	220.01	171.12	202.01	203.98	272.85	120.22	119.99
LL0000000534	113.63	166.94	172.19	79	122.31	86.85	115	121.91	96.76	172.95	98.71	92.19
LL0000000535	38	34.11	29.27	15.02	25.72	28.27	39.09	32.01	26	47.98	33	42
LL0000000536	9140.08	11001.38	10765.68	6210.44	8179.51	8773.82	7321.48	9232.33	7789.89	11047.26	6465.53	6010.42
LL0000000537	68.03	72.91	60.93	21.1	11.65	8.83	80.64	78.98	107.32	31.41	21.84	6.89
LL0000000538	402.37	408.02	398.04	271.02	343.9	467.53	276.61	482.09	406.94	424.18	255.34	259
LL0000000539	4	2	1	2	1	6	0	1	6	7.92	2	1
LL0000000540	1541.38	1524.88	1715.76	1691.74	2180.67	2813.27	1272.78	2059.7	1580.79	2409	1598.79	1584.86
LL0000000541	680.04	748.18	793.75	29	79	49	663.99	949.36	641.7	95.74	35.14	46
LL0000000542	1386.33	1338.09	1309.99	339	717.07	775.19	939.57	1282.87	1193.92	817.3	453.29	418.64
LL0000000543	10915.9	11887.51	7853.48	11252.44	19961.94	19398.07	7366.7	14015.19	11250.22	14298.55	9749.49	9964.99
LL0000000544	2593.47	2868.61	2643.44	610.84	918.79	1012	2288.21	2932.76	2458.68	1191.4	642.18	554.2
LL0000000545	125.14	98	112.96	54	90.02	131.23	93.97	108.06	115	116.29	76.44	93.14
LL0000000546	1678.37	1341.59	1927.87	1101.76	1315.76	2039.14	1119.98	1742.81	1565.52	1871.43	1246.02	1095.28
LL0000000547	2013.47	2075.84	1565.76	1709.57	2974.74	3509.41	1410.02	2568.57	1983.51	2693.92	1595	1879.88
LL0000000548	324.01	407.02	409.02	79.36	117.77	141.59	245.66	340.59	286.03	151	73.42	71.41
LL0000000549	2	4.89	6	4	6	5.07	1	13.06	7.75	2.39	0.58	2
LL0000000550	556	432.94	721.09	385	664.98	939.81	325.2	452.89	331.77	507.58	388.31	322.58
LL0000000551	711.69	727.49	690.29	454.57	713.72	1001.08	464	785.47	662.01	818.02	580.94	416.17
LL0000000552	420.2	428.29	499.2	242.02	341.17	419.2	311.09	499.05	433.7	405.93	319.06	213.49
LL0000000553	622.2	497.82	630.87	673.09	1004.75	1240.98	475.05	731.12	660.32	1093.26	699.19	707.85
LL0000000554	80.96	96.26	120.95	12	35	24.03	93.11	121.99	90	23	12	8
LL0000000555	1720.36	3669.85	2961.43	1400.2	2284.52	2717.48	1083.58	1787.31	1723.47	2012.77	1481.93	1131.83
LL0000000556	2615.93	2558.04	2702.73	1187.35	1545.45	2137.21	2010.58	3023.74	2604.78	2032.9	1202.59	1179.77
LL0000000557	1031.3	1028.88	989.7	1153.11	1757.41	2028.58	648.89	1170.25	935.94	1679.47	1045.78	883.56
LL0000000558	23.01	28.01	41	5	5	10.17	20.06	33.03	34.02	7	5	12
LL0000000559	279.39	327	348.51	257.92	344.01	426.26	287	307.25	278.14	288	212.89	212.04
LL0000000560	676.22	543.98	699.16	674	822.21	1386.11	385.96	629.61	599.65	1087.24	730.88	590.59
LL0000000561	3	0	3.97	9	7	26	2	1	0	10	6	6
LL0000000562	0	0	0	0	0	0	0	0	0	0	0	0
LL0000000563	0	0	1	0	0	0	0	0	0	2	0	2
LL0000000564	40.79	30.64	31.08	12.31	22.62	27.4	27	31.14	28	49.97	24.97	27.99
LL0000000565	44.59	61.65	74.46	34.64	73.1	106.84	30.9	45.23	62.33	98.06	65.62	79.14
LL0000000566	21.54	34	32	32	40	67.61	31.01	31	27	64.11	40.73	52.01
LL0000000567	6.77	1.03	3.18	2.2	3.43	5.61	6.64	0	1.22	5.5	2.08	4.39
LL0000000568	0	0	0	1	1.18	2.69	0	0	0	0	0	0
LL0000000569	0	0	0	0	0	0	0	0	0	0	0	0
LL0000000570	0	2	0	0	0	0	0	0	0	0	0	0
LL0000000571	0	0	0	0	0	0	0	0	0	0	0	0
LL0000000572	0	0	0	0	0	0	0	0	0	0	0	0
